row_type,event_id,event_type,event_label_ko,count,frame,time_sec,team_id,team_name,shot_made_count,shot_missed_count,pass_count,rebound_count,steal_or_block_count,shot_success_rate_pct,possession_frame_count,possession_time_sec,possession_pct,player_track_id,secondary_track_id,confidence,details
event,E00026,pass,패스,,3029,100.967,1,team_1,,,,,,,,,,3802,3684,0.68,stable_possession_changed_same_team;gap_frames=1;left_frames=21;right_frames=39
event,E00027,pass,패스,,3097,103.233,1,team_1,,,,,,,,,,4143,3728,0.68,stable_possession_changed_same_team;gap_frames=1;left_frames=12;right_frames=14
event,E00028,pass,패스,,3250,108.333,1,team_1,,,,,,,,,,3802,4193,0.68,stable_possession_changed_same_team;gap_frames=7;left_frames=13;right_frames=19
event,E00029,shot_missed,슛실패,,3425,114.167,2,team_2,,,,,,,,,,4622,,0.315,near_rim_no_make_detected
event,E00030,rebound,리바운드,,3429,114.3,2,team_2,,,,,,,,,,4839,,0.5,offensive_rebound_after_missed_shot_frame=3425
event,E00031,shot_made,슛성공,,3501,116.7,,unknown,,,,,,,,,,66539,,0.435,ball_crossed_rim_zone
event,E00032,steal_or_block,스틸/블락,,3888,129.6,2,team_2,,,,,,,,,,5362,5380,0.64,stable_possession_changed_opponent_team;gap_frames=37;left_frames=29;right_frames=54
event,E00033,pass,패스,,3956,131.867,1,team_1,,,,,,,,,,5474,5365,0.635,stable_possession_changed_same_team;gap_frames=1;left_frames=9;right_frames=11
event,E00034,steal_or_block,스틸/블락,,3967,132.233,2,team_2,,,,,,,,,,5476,5474,0.58,stable_possession_changed_opponent_team;gap_frames=1;left_frames=11;right_frames=8
event,E00035,pass,패스,,4012,133.733,1,team_1,,,,,,,,,,5531,5474,0.605,stable_possession_changed_same_team;gap_frames=3;left_frames=35;right_frames=7
event,E00036,shot_missed,슛실패,,4052,135.067,1,team_1,,,,,,,,,,5531,,0.315,near_rim_no_make_detected
event,E00037,rebound,리바운드,,4103,136.767,2,team_2,,,,,,,,,,5563,,0.5,defensive_rebound_after_missed_shot_frame=4052
event,E00038,pass,패스,,4136,137.867,2,team_2,,,,,,,,,,5476,5594,0.635,stable_possession_changed_same_team;gap_frames=2;left_frames=9;right_frames=24
event,E00039,steal_or_block,스틸/블락,,4210,140.333,1,team_1,,,,,,,,,,5531,5594,0.58,stable_possession_changed_opponent_team;gap_frames=1;left_frames=25;right_frames=8
